dry_run_relationship_id,source_reference,relationship_type,target_reference,source_status,source_method,source_dry_run_id,target_status,target_method,target_dry_run_id,disposition,ambiguity_notes
workbook:03_Content_Relationships:5,SAFE-SC-001,prepare_before,RES-SC-001,resolved,content_id,workbook:02_Content_Inventory:12,resolved,content_id,workbook:02_Content_Inventory:5,resolved,
workbook:03_Content_Relationships:6,RES-SC-001,next_step,RES-SC-002,resolved,content_id,workbook:02_Content_Inventory:5,resolved,content_id,workbook:02_Content_Inventory:6,resolved,
workbook:03_Content_Relationships:7,RES-SC-001,practice_after,SCN-SC-001,resolved,content_id,workbook:02_Content_Inventory:5,resolved,content_id,workbook:02_Content_Inventory:7,resolved,
workbook:03_Content_Relationships:8,RES-SC-002,practice_after,SCN-SC-001,resolved,content_id,workbook:02_Content_Inventory:6,resolved,content_id,workbook:02_Content_Inventory:7,resolved,
workbook:03_Content_Relationships:9,SCN-SC-001,remedial,SAFE-SC-001,resolved,content_id,workbook:02_Content_Inventory:7,resolved,content_id,workbook:02_Content_Inventory:12,resolved,
workbook:03_Content_Relationships:10,FAQ-SC-001,next_step,RES-SC-001,resolved,content_id,workbook:02_Content_Inventory:8,resolved,content_id,workbook:02_Content_Inventory:5,resolved,
workbook:03_Content_Relationships:11,FAQ-SC-002,next_step,RES-SC-001,resolved,content_id,workbook:02_Content_Inventory:9,resolved,content_id,workbook:02_Content_Inventory:5,resolved,
workbook:03_Content_Relationships:12,FAQ-SC-003,next_step,SAFE-SC-001,resolved,content_id,workbook:02_Content_Inventory:10,resolved,content_id,workbook:02_Content_Inventory:12,resolved,
workbook:03_Content_Relationships:13,FAQ-SC-004,next_step,RES-SC-002,resolved,content_id,workbook:02_Content_Inventory:11,resolved,content_id,workbook:02_Content_Inventory:6,resolved,
workbook:03_Content_Relationships:14,SAFE-MS-001,prepare_before,RES-MS-001,resolved,content_id,workbook:02_Content_Inventory:21,resolved,content_id,workbook:02_Content_Inventory:14,resolved,
workbook:03_Content_Relationships:15,RES-MS-001,next_step,RES-MS-002,resolved,content_id,workbook:02_Content_Inventory:14,resolved,content_id,workbook:02_Content_Inventory:15,resolved,
workbook:03_Content_Relationships:16,RES-MS-001,practice_after,SCN-MS-001,resolved,content_id,workbook:02_Content_Inventory:14,resolved,content_id,workbook:02_Content_Inventory:16,resolved,
workbook:03_Content_Relationships:17,RES-MS-002,practice_after,SCN-MS-001,resolved,content_id,workbook:02_Content_Inventory:15,resolved,content_id,workbook:02_Content_Inventory:16,resolved,
workbook:03_Content_Relationships:18,SCN-MS-001,remedial,SAFE-MS-001,resolved,content_id,workbook:02_Content_Inventory:16,resolved,content_id,workbook:02_Content_Inventory:21,resolved,
workbook:03_Content_Relationships:19,FAQ-MS-001,next_step,RES-MS-001,resolved,content_id,workbook:02_Content_Inventory:17,resolved,content_id,workbook:02_Content_Inventory:14,resolved,
workbook:03_Content_Relationships:20,FAQ-MS-002,next_step,RES-MS-001,resolved,content_id,workbook:02_Content_Inventory:18,resolved,content_id,workbook:02_Content_Inventory:14,resolved,
workbook:03_Content_Relationships:21,FAQ-MS-003,next_step,SAFE-MS-001,resolved,content_id,workbook:02_Content_Inventory:19,resolved,content_id,workbook:02_Content_Inventory:21,resolved,
